id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent
71748,kec,2397,6966,2356,6872,41,94,2%,1%,-4569,-4516,69268/71579
71633,kec,2364,7057,2328,6852,36,205,2%,3%,-4693,-4524,69268/71579
47200,kel,2144,623,2084,696,60,-73,3%,-12%,,,42385/47001/47191
928121,kec,6335,,6243,,92,,1%,#DIV/0!,6335,6243,78203/80724
13136,kec,1609,7571,1586,7467,23,104,1%,1%,-5962,-5881,12920/13099
68820,kel,428,350,439,354,-11,-4,-3%,-1%,,,67393/928074/68816
80213,kel,277,13,270,13,7,0,3%,0%,,,78203/80144/80204
82788,kel,161,7,165,7,-4,0,-2%,0%,,,81877/82724/82785
52511,kel,2680,5433,2615,5314,65,119,2%,2%,,,51578/52287/52502
10953,kec,2244,65,2214,63,30,2,1%,3%,2179,2151,6728/10646
11594,kel,2251,1544,2304,1534,-53,10,-2%,1%,,,6728/11374/11593
20944,kec,6838,3542,6756,3449,82,93,1%,3%,3296,3307,20802/20923
82801,kel,263,11,269,5,-6,6,-2%,55%,,,81877/82724/82793
13868,kec,1182,5137,1168,5054,14,83,1%,2%,-3955,-3886,12920/13844
83501,kec,5359,3403,5299,3312,60,91,1%,3%,1956,1987,22328/24850
13672,kel,790,3539,807,3638,-17,-99,-2%,-3%,,,12920/13634/13671
11328,kec,18397,397,18213,396,184,1,1%,0%,18000,17817,6728/11247
41967,kel,6103,2732,5978,2696,125,36,2%,1%,,,41863/41965/41966
75536,kec,5981,641,5924,633,57,8,1%,1%,5340,5291,75425/75502
13100,kec,848,13174,840,13059,8,115,1%,1%,-12326,-12219,12920/13099
31357,kel,1340,2602,1366,2641,-26,-39,-2%,-1%,,,26141/31345/31355
80206,kel,212,11,208,11,4,0,2%,0%,,,78203/80144/80204
54951,kel,2604,1053,2555,1045,49,8,2%,1%,,,54020/54925/54947
80193,kel,169,7,166,10,3,-3,2%,-43%,,,78203/80144/80191
82787,kel,57,,58,,-1,,-2%,#DIV/0!,,,81877/82724/82785
82917,kec,1885,98,1870,98,15,0,1%,0%,1787,1772,81877/82850
62708,kec,10909,19542,10824,19750,85,-208,1%,-1%,-8633,-8926,61965/62643
77345,kel,191,79,194,245,-3,-166,-2%,-210%,,,77085/77311/929217
77344,kel,194,245,191,79,3,166,2%,68%,,,77085/77311/929217
56793,kel,260,8,264,4,-4,4,-2%,50%,,,55065/56671/56782
66194,kel,520,520,528,296,-8,224,-2%,43%,,,65702/66188/66189
72875,kel,65,194,64,194,1,0,2%,0%,,,72551/928077/72874
83621,kec,1011,20,1004,19,7,1,1%,5%,991,985,78203/80526
83765,kec,7553,15285,7507,15112,46,173,1%,1%,-7732,-7605,69268/71327
82802,kec,2273,185,2261,191,12,-6,1%,-3%,2088,2070,81877/82724
64095,kel,2970,6140,3013,6140,-43,0,-1%,0%,,,61965/64085/64091
23315,kec,9082,29521,9038,29582,44,-61,0%,0%,-20439,-20544,22328/23189
66189,kec,8570,4992,8530,5328,40,-336,0%,-7%,3578,3202,65702/66188
31355,kec,6378,17942,6352,17903,26,39,0%,0%,-11564,-11551,26141/31345
56862,kel,318,18,314,18,4,0,1%,0%,,,55065/56671/56857
27826,kec,15271,30634,15232,30724,39,-90,0%,0%,-15363,-15492,26141/27714
13260,kec,909,14262,907,14304,2,-42,0%,0%,-13353,-13397,12920/13253
24680,kec,8329,2994,8316,2986,13,8,0%,0%,5335,5330,22328/24484
50700,kec,5860,69608,5854,69606,6,2,0%,0%,-63748,-63752,42385/50532
13327,kel,995,9222,984,9152,11,70,1%,1%,,,12920/13317/13322
13402,kel,1033,6900,1044,7010,-11,-110,-1%,-2%,,,12920/13317/13398
27813,kec,8809,32296,8801,32278,8,18,0%,0%,-23487,-23477,26141/27714
13398,kec,1409,11202,1408,11260,1,-58,0%,-1%,-9793,-9852,12920/13317
14777,kel,2630,6842,2605,6761,25,81,1%,1%,,,14086/14741/14775
13318,kec,1479,12575,1478,12620,1,-45,0%,0%,-11096,-11142,12920/13317
5788,kel,106,1006,107,1006,-1,0,-1%,0%,,,1/5694/5766
80194,kel,231,16,233,16,-2,0,-1%,0%,,,78203/80144/80191
2864,kec,1889,22519,1888,22519,1,0,0%,0%,-20630,-20631,1/2452
17276,kec,3867,7493,3865,7513,2,-20,0%,0%,-3626,-3648,15885/17215
52857,kec,6899,18522,6897,18576,2,-54,0%,0%,-11623,-11679,51578/52593
20818,kec,5076,4173,5075,4173,1,0,0%,0%,903,902,20802/20803
67532,kel,274,608,276,608,-2,0,-1%,0%,,,67393/67394/67527
67140,kec,22145,10296,22144,10296,1,0,0%,0%,11849,11848,65702/67130
